Date,Energy.Price
12/12/2015,70.16
13/12/2015,65.67
14/12/2015,47.59
15/12/2015,49.99
16/12/2015,52.54
17/12/2015,54.89
18/12/2015,55.09
19/12/2015,55.29
20/12/2015,48.47
21/12/2015,56
22/12/2015,55.19
23/12/2015,56.44
24/12/2015,54.94
25/12/2015,55.94
26/12/2015,51.92
27/12/2015,45.65
28/12/2015,40.91
29/12/2015,47.01
30/12/2015,48.4
31/12/2015,45.93
01/01/2016,57.85
02/01/2016,34.09
03/01/2016,40.53
04/01/2016,25.01
05/01/2016,34.11
06/01/2016,29
07/01/2016,25.1
08/01/2016,32.62
09/01/2016,40.24
10/01/2016,22.52
11/01/2016,15.28
12/01/2016,29.94
13/01/2016,46.45
14/01/2016,34.68
15/01/2016,42.77
16/01/2016,38.96
17/01/2016,45.93
18/01/2016,46.74
19/01/2016,46.07
20/01/2016,47.68
21/01/2016,47.23
22/01/2016,46.17
23/01/2016,52.27
24/01/2016,45.3
25/01/2016,43.86
26/01/2016,56.79
27/01/2016,49.71
28/01/2016,46.48
29/01/2016,46.69
30/01/2016,56.25
31/01/2016,43.75
01/02/2016,45.85
02/02/2016,50.95
03/02/2016,40.69
04/02/2016,32.45
05/02/2016,44.49
06/02/2016,45.24
07/02/2016,24.01
08/02/2016,33.59
09/02/2016,30.51
10/02/2016,25.69
11/02/2016,30.46
12/02/2016,30.25
13/02/2016,24.81
14/02/2016,19.02
15/02/2016,28.38
16/02/2016,34.17
17/02/2016,44.91
18/02/2016,36.34
19/02/2016,38.96
20/02/2016,42.99
21/02/2016,39.14
22/02/2016,48.26
23/02/2016,37.79
24/02/2016,36.65
25/02/2016,32.11
26/02/2016,32.73
27/02/2016,13.84
28/02/2016,14.6
29/02/2016,20.55
01/03/2016,32.29
02/03/2016,31.7
03/03/2016,28.64
04/03/2016,33.77
05/03/2016,19.27
06/03/2016,27.9
07/03/2016,31.76
08/03/2016,30.38
09/03/2016,35.5
10/03/2016,28
11/03/2016,36.75
12/03/2016,35.7
13/03/2016,34.57
14/03/2016,35.47
15/03/2016,47.44
16/03/2016,44.66
17/03/2016,45.86
18/03/2016,48.2
19/03/2016,46.07
20/03/2016,44.38
21/03/2016,45.24
22/03/2016,39.24
23/03/2016,36.9
24/03/2016,33.13
25/03/2016,40.6
26/03/2016,41.88
27/03/2016,28.52
28/03/2016,24.68
29/03/2016,32.93
30/03/2016,39.33
31/03/2016,31.07
01/04/2016,31.87
02/04/2016,41.41
03/04/2016,28.27
04/04/2016,28.55
05/04/2016,29.05
06/04/2016,31.87
07/04/2016,31.96
08/04/2016,28.19
09/04/2016,26.64
10/04/2016,23.73
11/04/2016,19.76
12/04/2016,28.47
13/04/2016,28.6
14/04/2016,31.46
15/04/2016,30.98
16/04/2016,28.43
17/04/2016,27.79
18/04/2016,31.61
19/04/2016,18.73
20/04/2016,29.46
21/04/2016,30.56
22/04/2016,44.95
23/04/2016,35.83
24/04/2016,25.02
25/04/2016,28.62
26/04/2016,30.81
27/04/2016,37.87
28/04/2016,37.11
29/04/2016,33.75
30/04/2016,40.24
01/05/2016,28.59
02/05/2016,31.03
03/05/2016,32.94
04/05/2016,32.79
05/05/2016,41.05
06/05/2016,43.8
07/05/2016,36.83
08/05/2016,16.69
09/05/2016,24.18
10/05/2016,32.78
11/05/2016,30.64
12/05/2016,31.67
13/05/2016,31.3
14/05/2016,20.07
15/05/2016,24.48
16/05/2016,33.85
17/05/2016,39.34
18/05/2016,41.35
19/05/2016,32.9
20/05/2016,38.47
21/05/2016,33.39
22/05/2016,28.47
23/05/2016,34.83
24/05/2016,41.35
25/05/2016,41.87
26/05/2016,43.97
27/05/2016,47.77
28/05/2016,36.43
29/05/2016,27.25
30/05/2016,42.41
31/05/2016,45.12
01/06/2016,45.34
02/06/2016,45.93
03/06/2016,48.92
04/06/2016,47.88
05/06/2016,48.12
06/06/2016,53.37
07/06/2016,54.3
08/06/2016,45.85
09/06/2016,46.4
10/06/2016,52.61
11/06/2016,42.38
12/06/2016,49.47
13/06/2016,46.73
14/06/2016,38.91
15/06/2016,36.11
16/06/2016,41.58
17/06/2016,50.19
18/06/2016,50.01
19/06/2016,38.48
20/06/2016,45.9
21/06/2016,47.09
22/06/2016,46.13
23/06/2016,41.72
24/06/2016,44.35
25/06/2016,45.52
26/06/2016,34.84
27/06/2016,39.66
28/06/2016,45.86
29/06/2016,48.89
30/06/2016,48.72
01/07/2016,50.87
02/07/2016,48.21
03/07/2016,43.07
04/07/2016,42.4
05/07/2016,50.09
06/07/2016,48.55
07/07/2016,48.65
08/07/2016,49.13
09/07/2016,49.46
10/07/2016,52.51
11/07/2016,47.7
12/07/2016,47.49
13/07/2016,43.6
14/07/2016,38.49
15/07/2016,40.84
16/07/2016,45.65
17/07/2016,48.99
18/07/2016,48.84
19/07/2016,47.18
20/07/2016,47.1
21/07/2016,49.78
22/07/2016,44.98
23/07/2016,47.25
24/07/2016,45.78
25/07/2016,46.24
26/07/2016,44.57
27/07/2016,45.11
28/07/2016,45.39
29/07/2016,47.92
30/07/2016,52.16
31/07/2016,41.22
01/08/2016,49.7
02/08/2016,45.28
03/08/2016,48.68
04/08/2016,50.51
05/08/2016,44.3
06/08/2016,43.94
07/08/2016,41.22
08/08/2016,41.97
09/08/2016,49.73
10/08/2016,37.49
11/08/2016,41.94
12/08/2016,44.53
13/08/2016,51.33
14/08/2016,50.15
15/08/2016,48.46
16/08/2016,56.21
17/08/2016,52.49
18/08/2016,51.23
19/08/2016,49.95
20/08/2016,53.57
21/08/2016,44.79
22/08/2016,46.35
23/08/2016,47.54
24/08/2016,47.48
25/08/2016,46.26
26/08/2016,45.88
27/08/2016,50.03
28/08/2016,49.47
29/08/2016,47.01
30/08/2016,45.13
31/08/2016,48.4
01/09/2016,42.86
02/09/2016,50.03
03/09/2016,49.96
04/09/2016,49.24
05/09/2016,51.26
06/09/2016,52.81
07/09/2016,53.36
08/09/2016,47.7
09/09/2016,47.16
10/09/2016,47.81
11/09/2016,43.22
12/09/2016,46.22
13/09/2016,43.62
14/09/2016,41.89
15/09/2016,46.89
16/09/2016,43.82
17/09/2016,51.19
18/09/2016,46.43
19/09/2016,44.92
20/09/2016,44.7
21/09/2016,45.16
22/09/2016,50.36
23/09/2016,48.05
24/09/2016,53.59
25/09/2016,41.21
26/09/2016,50.39
27/09/2016,46.08
28/09/2016,44.85
29/09/2016,45.95
30/09/2016,47.85
01/10/2016,52.04
02/10/2016,51.58
03/10/2016,51.76
04/10/2016,56.25
05/10/2016,53.32
06/10/2016,57.27
07/10/2016,58.31
08/10/2016,58.8
09/10/2016,50.64
10/10/2016,50.85
11/10/2016,63.37
12/10/2016,56.65
13/10/2016,61.8
14/10/2016,62.74
15/10/2016,56.86
16/10/2016,50.38
17/10/2016,59.56
18/10/2016,61.94
19/10/2016,61.11
20/10/2016,63.93
21/10/2016,61.77
22/10/2016,60.99
23/10/2016,47.45
24/10/2016,53.34
25/10/2016,59.09
26/10/2016,65.5
27/10/2016,59.17
28/10/2016,56.14
29/10/2016,60.68
30/10/2016,61
31/10/2016,58.57
01/11/2016,54.88
02/11/2016,63.41
03/11/2016,66.07
04/11/2016,63.55
05/11/2016,60.19
06/11/2016,51.67
07/11/2016,55.38
08/11/2016,56.93
09/11/2016,47.73
10/11/2016,61.43
11/11/2016,63.93
12/11/2016,66.31
13/11/2016,64.71
14/11/2016,53.73
15/11/2016,54.62
16/11/2016,63.07
17/11/2016,70.06
18/11/2016,59.56
19/11/2016,64.51
20/11/2016,53
21/11/2016,28.36
22/11/2016,64.04
23/11/2016,61.86
24/11/2016,58.32
25/11/2016,54.56
26/11/2016,50.86
27/11/2016,53.58
28/11/2016,59.7
29/11/2016,69.48
30/11/2016,58.23
01/12/2016,63.26
02/12/2016,74.36
03/12/2016,73.54
04/12/2016,54.87
05/12/2016,56.59
06/12/2016,70.56
07/12/2016,71.49
08/12/2016,61.87
09/12/2016,56.63
10/12/2016,59.68
11/12/2016,71.19
12/12/2016,68.21
13/12/2016,73.89
14/12/2016,64.53
15/12/2016,72.72
16/12/2016,62.71
17/12/2016,66.07
18/12/2016,55.4
19/12/2016,62.18
20/12/2016,67.4
21/12/2016,64.04
22/12/2016,71.69
23/12/2016,73.5
24/12/2016,70.22
25/12/2016,58.17
26/12/2016,66.97
27/12/2016,58
28/12/2016,62.76
29/12/2016,58.85
30/12/2016,70.4
31/12/2016,71.38
01/01/2017,67.85
02/01/2017,64.04
03/01/2017,62.12
04/01/2017,69.61
05/01/2017,58.58
06/01/2017,67.4
07/01/2017,73.6
08/01/2017,76.08
09/01/2017,66.19
10/01/2017,66.64
11/01/2017,64.7
12/01/2017,80.84
13/01/2017,66.1
14/01/2017,82.15
15/01/2017,73.26
16/01/2017,66.1
17/01/2017,69.03
18/01/2017,73.96
19/01/2017,86.48
20/01/2017,87.66
21/01/2017,93.83
22/01/2017,87.51
23/01/2017,76.94
24/01/2017,93.56
25/01/2017,103.11
26/01/2017,97.78
27/01/2017,74.69
28/01/2017,67.93
