Date,BTC,DOGE,ETH,LTC,MONERO
27/11/2013 23:59,1001.960022,,,39.03639984,
28/11/2013 23:59,1031.949951,,,43.39350128,
29/11/2013 23:59,1131.969971,,,37.73989868,
30/11/2013 23:59,1129.430054,,,40.46749878,
01/12/2013 23:59,955.8499756,,,34.73559952,
02/12/2013 23:59,1043.329956,,,33.17789841,
03/12/2013 23:59,1078.280029,,,39.78850174,
04/12/2013 23:59,1151.170044,,,44.73450089,
05/12/2013 23:59,1045.109985,,,37.74940109,
06/12/2013 23:59,829.4500122,,,29.83530045,
07/12/2013 23:59,698.2299805,,,23.29299927,
08/12/2013 23:59,795.8699951,,,27.27449989,
09/12/2013 23:59,893.1900024,,,31.56529999,
10/12/2013 23:59,988.5100098,,,36.28820038,
11/12/2013 23:59,878.4799805,,,30.97520065,
12/12/2013 23:59,873.2600098,,,31.58580017,
13/12/2013 23:59,892.5800171,,,31.20459938,
14/12/2013 23:59,872.5999756,,,30.37520027,
15/12/2013 23:59,876.1199951,,,31.27750015,
16/12/2013 23:59,705.9699707,0.000204731,,24.63839912,
17/12/2013 23:59,682.1199951,0.00026854,,21.97109985,
18/12/2013 23:59,522.7000122,0.000361631,,13.39159966,
19/12/2013 23:59,691.960022,0.00116249,,19.90769958,
20/12/2013 23:59,625.3200073,0.000703866,,17.56550026,
21/12/2013 23:59,605.6599731,0.000393679,,16.7343998,
22/12/2013 23:59,617.1799927,0.000314762,,16.85519981,
23/12/2013 23:59,673.4099731,0.000451185,,17.89249992,
24/12/2013 23:59,665.5800171,0.000685547,,17.6378994,
25/12/2013 23:59,682.210022,0.000586701,,21.14850044,
26/12/2013 23:59,761.9799805,0.000601964,,24.75670052,
27/12/2013 23:59,735.0700073,0.0005219,,23.27230072,
28/12/2013 23:59,727.8300171,0.000458533,,22.56270027,
29/12/2013 23:59,745.0499878,0.00045448,,24.06509972,
30/12/2013 23:59,756.1300049,0.000415872,,24.37759972,
31/12/2013 23:59,754.0100098,0.000422246,,24.34700012,
01/01/2014 23:59,771.4000244,0.000439698,,24.61540031,
02/01/2014 23:59,802.3900146,0.000353052,,25.75670052,
03/01/2014 23:59,818.7199707,0.000302926,,24.81539917,
04/01/2014 23:59,859.5100098,0.000300829,,25.10630035,
05/01/2014 23:59,933.5300293,0.000270724,,26.82970047,
06/01/2014 23:59,953.289978,0.000254553,,29.21710014,
07/01/2014 23:59,802,0.00022456,,23.25,
08/01/2014 23:59,842.7199707,0.000227534,,24.38829994,
09/01/2014 23:59,846.8599854,0.000245589,,24.43190002,
10/01/2014 23:59,868.4799805,0.000373446,,24.92539978,
11/01/2014 23:59,913.9500122,0.00035644,,26.78790092,
12/01/2014 23:59,863.2199707,0.000345288,,25.09379959,
13/01/2014 23:59,841.2000122,0.000277596,,24.26860046,
14/01/2014 23:59,833.2700195,0.000341641,,24.09819984,
15/01/2014 23:59,860.9000244,0.000413232,,25.21579933,
16/01/2014 23:59,835.6300049,0.00038439,,24.45890045,
17/01/2014 23:59,814.6400146,0.000415466,,23.70599937,
18/01/2014 23:59,840,0.000588,,24.55319977,
19/01/2014 23:59,870.960022,0.000696768,,25.44070053,
20/01/2014 23:59,870.2000122,0.00125309,,25.20100021,
21/01/2014 23:59,863.9099731,0.00181421,,24.7336998,
22/01/2014 23:59,845.5900269,0.00149669,,23.65119934,
23/01/2014 23:59,822.039978,0.00180027,,22.38409996,
24/01/2014 23:59,797.0700073,0.00178544,,20.72380066,
25/01/2014 23:59,853.6099854,0.0018438,,23.08160019,
26/01/2014 23:59,885.2800293,0.0015935,,24.12389946,
27/01/2014 23:59,771.3900146,0.0012188,,20.01759911,
28/01/2014 23:59,812.5100098,0.00135689,,21.54780006,
29/01/2014 23:59,826,0.00160244,,21.92200089,
30/01/2014 23:59,819.0300293,0.0015234,,21.68790054,
31/01/2014 23:59,829.9199829,0.00156025,,22.13400078,
01/02/2014 23:59,832.5800171,0.00145702,,22.47130013,
02/02/2014 23:59,825.3699951,0.00127932,,22.40049934,
03/02/2014 23:59,823.8300171,0.0012687,,21.90559959,
04/02/2014 23:59,827.960022,0.00116063,,21.46050072,
05/02/2014 23:59,811.9099731,0.00130246,,20.77770042,
06/02/2014 23:59,781.5499878,0.00130602,,19.90810013,
07/02/2014 23:59,712.4000244,0.00112419,,18.5352993,
08/02/2014 23:59,673.9199829,0.00108135,,18.08469963,
09/02/2014 23:59,682.9000244,0.00129071,,18.21789932,
10/02/2014 23:59,681.0300293,0.001414,,17.73500061,
11/02/2014 23:59,672.1699829,0.00181152,,17.46310043,
12/02/2014 23:59,651.7199707,0.00181778,,16.95009995,
13/02/2014 23:59,605.2399902,0.00157195,,15.2901001,
